ad_id,city_id,category_id,market,date_posted,date_expired,price_per_sqm,price,rooms_num
62780856,1004,101,secondary,2/16/2022,5/17/2022,6558,282000,1
61587407,26,101,secondary,3/5/2021,5/12/2022,10854,890000,4
62881830,26,101,secondary,3/16/2022,6/17/2022,26000,650000,1
62904247,26,101,primary,3/22/2022,6/20/2022,11616,700000,3
62797200,1004,101,secondary,2/21/2022,4/22/2022,9999,327567,1
62863345,26,101,secondary,3/10/2022,4/9/2022,13854,665000,3
62792044,26,101,secondary,2/19/2022,3/25/2022,17255,638450,2
62826434,26,101,primary,3/1/2022,6/29/2022,21386,997000,2
62824610,26,101,primary,2/28/2022,6/28/2022,21986,600000,1
62777516,1004,101,secondary,2/16/2022,4/21/2022,7168,286000,2
62806417,26,101,secondary,2/23/2022,3/25/2022,9900,584100,4
62730240,1004,101,secondary,2/3/2022,2/6/2022,5345,310000,3
62917308,26,101,secondary,3/25/2022,5/23/2022,14331,675000,3
62799464,26,101,secondary,2/21/2022,2/22/2022,12224,599000,2
62766602,26,101,secondary,2/13/2022,3/16/2022,9231,1200000,4
62836197,26,101,primary,3/3/2022,4/2/2022,12496,400000,2
62799510,26,101,secondary,2/21/2022,2/22/2022,11027,816000,3
62904225,26,101,primary,3/22/2022,5/21/2022,20357,900000,2
62792338,26,101,secondary,2/19/2022,3/21/2022,15114,665000,2
62757668,26,101,secondary,2/10/2022,3/29/2022,9354,608000,3
62733877,1004,101,secondary,2/4/2022,6/12/2022,8868,470000,3
62774840,26,101,secondary,2/15/2022,3/28/2022,9910,550000,2
62802505,26,101,secondary,2/22/2022,3/24/2022,14706,500000,2
62925038,26,101,secondary,3/28/2022,6/26/2022,14459,535000,1
62923992,26,101,secondary,3/28/2022,7/1/2022,10894,731000,3
62770662,26,101,secondary,2/14/2022,2/16/2022,15806,450000,1
62929954,26,101,primary,3/29/2022,4/27/2022,9054,507000,3
62763033,26,101,secondary,2/11/2022,3/31/2022,9795,670000,3
62855263,26,101,primary,3/8/2022,4/7/2022,17700,480909,1
62735290,26,101,primary,2/4/2022,3/6/2022,8965,320852,1
62822934,26,101,secondary,2/28/2022,5/4/2022,11698,620000,3
62832470,26,101,primary,3/2/2022,4/1/2022,15404,549000,2
62860162,1004,101,primary,3/9/2022,4/8/2022,9840,291265,1
62826286,26,101,secondary,3/1/2022,4/30/2022,17830,1890000,4
62743847,26,101,secondary,2/7/2022,2/20/2022,11507,750000,3
62913199,26,101,secondary,3/24/2022,5/27/2022,16500,1171500,2
62927258,26,101,secondary,3/28/2022,7/2/2022,17319,1195000,3
62783567,26,101,secondary,2/17/2022,3/4/2022,11609,570000,3
62784496,26,101,secondary,2/17/2022,2/22/2022,12000,654720,2
62830990,26,101,primary,3/2/2022,6/30/2022,12639,745967,3
62878216,26,101,secondary,3/15/2022,6/13/2022,13564,529000,2
62931815,26,101,secondary,3/29/2022,6/19/2022,20000,2000000,3
62785650,26,101,secondary,2/17/2022,6/27/2022,12091,399000,1
62845621,26,101,secondary,3/6/2022,4/5/2022,11344,650000,3
62726507,26,101,primary,2/2/2022,3/4/2022,12958,400000,2
62840735,26,101,primary,3/4/2022,7/2/2022,13701,700000,2
62820622,1004,101,secondary,2/27/2022,3/29/2022,6970,345000,2
62898485,26,101,secondary,3/21/2022,6/19/2022,25000,2600000,3
62828775,1004,101,secondary,3/1/2022,5/10/2022,6900,309250,2
62798134,26,101,secondary,2/21/2022,3/3/2022,14144,413000,2
62777659,26,101,primary,2/16/2022,3/29/2022,11814,796000,3
61605244,1004,101,primary,3/10/2021,6/29/2022,8100,331452,2
62799090,26,101,secondary,2/21/2022,4/28/2022,8152,750000,4
62839074,26,101,secondary,3/3/2022,7/1/2022,16314,1150000,3
62918814,26,101,secondary,3/25/2022,4/25/2022,9319,725000,3
62866274,1004,101,secondary,3/11/2022,4/10/2022,9167,385000,2
